"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Теймуразович","M","Теймуразовича","Теймуразовичу","Теймуразовича","Теймуразовичем","Теймуразовиче"
"Теймуразовна","F","","","","",""
"Теймуразівна","F","Теймуразовны","Теймуразовне","Теймуразовны","Теймуразовной","Теймуразовне"
"Теймурович","M","","","","",""
"Теймуровна","F","","","","",""
"Тейфунович","M","","","","",""
"Тейфуновна","F","","","","",""
"Телимарович","M","","","","",""
"Телимаровна","F","","","","",""
"Телимонівна","F","Телимоновны","Телимоновне","Телимоновны","Телимоновной","Телимоновне"
"Телманович","M","","","","",""
"Телмановна","F","","","","",""
"Тельманович","M","Тельмановича","Тельмановичу","Тельмановича","Тельмановичем","Тельмановиче"
"Тельманівна","F","Тельмановны","Тельмановне","Тельмановны","Тельмановной","Тельмановне"
"Телюбович","M","","","","",""
"Телюбовна","F","","","","",""
"Телісфорович","M","Телисфоровича","Телисфоровичу","Телисфоровича","Телисфоровичем","Телисфоровиче"
"Темуриевич","M","","","","",""
"Темуриевна","F","","","","",""
"Темірбайович","M","Темирбаевича","Темирбаевичу","Темирбаевича","Темирбаевичем","Темирбаевиче"
"Теміргалійович","M","Темиргалиевича","Темиргалиевичу","Темиргалиевича","Темиргалиевичем","Темиргалиевиче"
"Тенгизович","M","","","","",""
"Тенгизовна","F","","","","",""
"Тенгізівна","F","Тенгизовны","Тенгизовне","Тенгизовны","Тенгизовной","Тенгизовне"
"Теодозьевич","M","","","","",""
"Теодозьевна","F","","","","",""
"Теодозійович","M","Теодозиевича","Теодозиевичу","Теодозиевича","Теодозиевичем","Теодозиевиче"
"Теодозіївна","F","Теодозиевны","Теодозиевне","Теодозиевны","Теодозиевной","Теодозиевне"
"Теодоро-Альгітанто","M","Теодоро-Альгитанто","Теодоро-Альгитанто","Теодоро-Альгитанто","Теодоро-Альгитанто","Теодоро-Альгитанто"
"Теодорович","M","Теодоровича","Теодоровичу","Теодоровича","Теодоровичем","Теодоровиче"
"Теодоровна","F","","","","",""
"Теодорівна","F","Теодоровны","Теодоровне","Теодоровны","Теодоровной","Теодоровне"
"Теофаньевич","M","","","","",""
"Теофаньевна","F","","","","",""
