"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Гаяне","F","Гаяне","Гаяне","Гаяне","Гаяне","Гаяне","Гаяне"
"Гванца","M","Гванце","Гванци","Гванці","Гванци","Гванцем","Гванцеві"
"Гвідон","M","","","","","",""
"Гдал","M","","","","","",""
"Гдалі","M","","","","","",""
"Гевор","M","","","","","",""
"Геворг","M","Геворге","Геворга","Геворгу","Геворга","Геворгом","Геворгові"
"Гегале","M","Гегале","Гегале","Гегале","Гегале","Гегале","Гегале"
"Гегам","M","Гегаме","Гегама","Гегаму","Гегама","Гегамом","Гегамові"
"Гегечик","F","Гегечик","Гегечик","Гегечик","Гегечик","Гегечик","Гегечик"
"Гедеван","M","","","","","",""
"Гедемин","M","","","","","",""
"Гедеон","M","Гедеоне","Гедеона","Гедеону","Гедеона","Гедеоном","Гедеонові"
"Гедиминас","M","","","","","",""
"Гедимін","M","","","","","",""
"Гейбат Огли","M","","","","","",""
"Гейдар","M","Гейдаре","Гейдара","Гейдару","Гейдара","Гейдаром","Гейдарові"
"Гейза","M","Гейзо","Гейзи","Гейзі","Гейзи","Гейзою","Гейзі"
"Гейзай","M","","","","","",""
"Гейзо","M","","","","","",""
"Гейзі","M","","","","","",""
"Гейніх","M","","","","","",""
"Гейсар","M","Гейсаре","Гейсара","Гейсару","Гейсара","Гейсаром","Гейсарові"
"Гела","M","Геле","Гела","Гелу","Гела","Гелом","Гелові"
"Гелен","M","Гелене","Гелена","Гелену","Гелена","Геленом","Геленові"
"Гелена","F","Гелено","Гелени","Гелені","Гелени","Геленою","Гелені"
"Гельмутдін","M","","","","","",""
"Гельфія","F","Гельфіє","Гельфії","Гельфії","Гельфії","Гельфією","Гельфії"
"Гелій","M","Геліє","Гелія","Гелію","Гелія","Гелієм","Гелії"
"Гена","M","","","","","",""
"Генефа","F","Генефе","Генефи","Генефі","Генефи","Генефою","Генефі"
"Геннадій","M","Геннадію","Геннадія","Геннадію","Геннадія","Геннадієм","Геннадії"
"Генрик","M","","","","","",""
"Генрік","M","","","","","",""
"Генріх","M","Генріхе","Генріха","Генріху","Генріха","Генріхом","Генріху"
"Генрієтта","F","Генрієтто","Генрієтти","Генрієтті","Генрієтти","Генрієттоб","Генрієтті"
"Геній","M","Генію","Генія","Генію","Генія","Генієм","Генієві"
"Генія","F","Геніє","Генії","Генії","Генії","Генією","Генії"
"Геніятул","M","","","","","",""
"Георг","M","Георге","Георга","Георгу","Георга","Георгом","Георгові"
"Георгій","M","Георгію","Георгія","Георгію","Георгія","Георгієм","Георгії"
"Георгіна","F","Георгіне","Георгіни","Георгіні","Георгіни","Георгіною","Георгіні"
"Геофіл","M","","","","","",""
"Гера","F","Геро","Гери","Гері","Гери","Герою","Гері"
"Гера","M","","","","","",""
"Геральд","M","","","","","",""
"Герард","M","Герарде","Герарда","Герарду","Герарда","Герардом","Герардові"
"Герасим","M","Герасиме","Герасима","Герасиму","Герасима","Герасимом","Герасимі"
"Герберт","M","","","","","",""
"Гервасій","M","Гервасію","Гервасія","Гервасію","Гервасія","Гервасієм","Гервасії"
"Герд","M","Герде","Герда","Герду","Герда","Гердом","Гердові"
"Герегін","M","","","","","",""
"Геркулес","M","Геркулесе","Геркулеса","Геркулесу","Геркулеса","Геркулесом","Геркулесові"
"Герман","M","Германе","Германа","Герману","Германа","Германом","Германі"
"Гермоген","M","Гермогене","Гермогена","Гермогену","Гермогена","Гермогеном","Гермогенові"
"Гермон","M","","","","","",""
"Герміне","F","Герміне","Герміне","Герміне","Герміне","Герміне","Герміне"
"Герольд","M","","","","","",""
"Героним","M","","","","","",""
"Геронт","M","","","","","",""
"Геронтій","M","Геронтіє","Геронтія","Геронтію","Геронтія","Геронтійом","Геронтійові"
"Героній","M","","","","","",""
"Герсан","M","","","","","",""
"Гертруд","M","Гертруде","Гертруда","Гертруду","Гертруда","Гертрудом","Гертрудові"
"Гертруда","F","Гертрудо","Гертруди","Гертруді","Гертруди","Гертрудою","Гертруді"
"Герхард","M","Герхарде","Герхарда","Герхарду","Герхарда","Герхардом","Герхардові"
"Герц","M","","","","","",""
"Герш","M","","","","","",""
"Герше","M","","","","","",""
"Гетов","M","Гетове","Гетова","Гетову","Гетова","Гетовом","Гетовові"
"Гетія","F","Гетіє","Гетії","Гетії","Гетії","Гетією","Гетії"
"Гиляр","M","","","","","",""
"Глафіра","F","Глафіро","Глафіри","Глафірі","Глафіри","Глафірою","Глафірі"
"Глорія","F","Глоріє","Глорії","Глорії","Глорії","Глорією","Глорії"
"Гліб","M","Глібе","Гліба","Глібу","Гліба","Глібом","Глібі"
"Глікерія","F","Глікеріє","Глікерії","Глікерії","Глікерії","Глікерією","Глікерії"
"Гліфтерій","M","","","","","",""
"Гнат","M","Гнате","Гната","Гнату","Гната","Гнатом","Гнаті"
"Гоар","F","Гоаре","Гоари","Гоарі","Гоарі","Гоарою","Гоарі"
"Гоарік","F","Гоаріке","Гоаріки","Гоарікі","Гоаріки","Гоарікою","Гоарікі"
"Гобан","M","Гобане","Гобана","Гобану","Гобана","Гобаном","Гобанові"
"Гога","M","Гого","Гоги","Гозі","Гоги","Гогою","Гозі"
"Гогій","M","","","","","",""
"Гогін","M","","","","","",""
"Годерзій","M","","","","","",""
"Годо","M","","","","","",""
"Годольф","M","Годольфе","Годольфа","Годольфу","Годольфа","Годольфом","Годольфові"
"Голоса","F","Голосо","Голоси","Голосі","Голоси","Голосою","Голосі"
"Гор","M","","","","","",""
"Гордана","F","Гордане","Гордани","Гордані","Гордани","Горданою","Гордані"
"Гордон","M","Гордоне","Гордона","Гордону","Гордона","Гордоном","Гордонові"
"Гордій","M","Гордіє","Гордія","Гордію","Гордія","Гордійом","Гордійові"
"Горислав","M","Гориславе","Горислава","Гориславу","Горислава","Гориславом","Гориславові"
"Горпина","F","Горпино","Горпини","Горпині","Горпину","Горпиною","Горпині"
"Горхмаз","M","Горхмазе","Горхмаза","Горхмазу","Горхмаза","Горхмазом","Горхмазові"
"Господін","M","Господіне","Господіна","Господіну","Господіна","Господіном","Господінові"
"Готліб","M","","","","","",""
"Готфарт","M","Готфарте","Готфарта","Готфарту","Готфарта","Готфартом","Готфартові"
"Гофіштанд","M","Гофіштанде","Гофіштанда","Гофіштанду","Гофіштанда","Гофіштандом","Гофіштандові"
"Гоча","M","Гоче","Гоча","Гочу","Гоча","Гочем","Гочові"
"Гочназар","M","Гочназаре","Гочназара","Гочназару","Гочназара","Гочназаром","Гочназарові"
"Гражина","F","Гражине","Гражини","Гражині","Гражини","Гражиною","Гражині"
"Грайр","M","Грайре","Грайра","Грайру","Грайра","Грайром","Грайрові"
"Грант","M","Гранте","Гранта","Гранту","Гранта","Грантом","Грантові"
"Грантик","M","","","","","",""
"Граціан","M","Граціане","Граціана","Граціану","Граціана","Граціаном","Граціанові"
"Граціян","M","","","","","",""
"Грачик","M","Грачике","Грачика","Грачику","Грачика","Грачиком","Грачикові"
"Греана","F","Греано","Греани","Греані","Греани","Греаною","Греані"
"Грегорі","M","Грегорі","Грегорі","Грегорі","Грегорі","Грегорієм","Грегорієві"
"Гремік","M","","","","","",""
"Гретта","F","Гретто","Гретти","Гретті","Гретти","Греттою","Гретті"
"Григорій","M","Григорію","Григорія","Григорію","Григорія","Григорієм","Григорії"
"Грифон","M","","","","","",""
"Губар","M","Губаре","Губара","Губару","Губара","Губаром","Губарові"
"Губерт","M","","","","","",""
"Гугар","M","","","","","",""
"Гуген","M","","","","","",""
"Гудай","M","","","","","",""
"Гуду","M","Гуду","Гуду","Гуду","Гуду","Гуду","Гуду"
"Гузал","F","Гузале","Гузали","Гузалі","Гузали","Гузалою","Гузалі"
"Гузелія","F","Гузеліє","Гузелії","Гузелії","Гузелії","Гузелією","Гузелії"
"Гукас","M","Гукасе","Гукаса","Гукасу","Гукаса","Гукасом","Гукасі"
"Гульзар","F","Гульзар","Гульзар","Гульзар","Гульзар","Гульзар","Гульзар"
"Гульмира","F","Гульмире","Гульмири","Гульмирі","Гульмири","Гульмирою","Гульмирі"
"Гульмін","M","","","","","",""
"Гульміна","F","Гульміно","Гульміни","Гульміні","Гульміни","Гульміною","Гульміні"
"Гульнак","F","Гульнак","Гульнак","Гульнак","Гульнак","Гульнак","Гульнак"
"Гульсина","F","Гульсино","Гульсини","Гульсині","Гульсини","Гульсиною","Гульсині"
"Гульсум","F","Гульсуме","Гульсуми","Гульсумі","Гульсуми","Гульсумою","Гульсумі"
"Гульчачак","F","Гульчачаке","Гульчачаки","Гульчачакі","Гульчачаки","Гульчачакою","Гульчачакі"
"Гульшен","F","Гульшен","Гульшен","Гульшен","Гульшен","Гульшен","Гульшен"
"Гуля","F","Гулю","Гулі","Гулі","Гулі","Гулею","Гулі"
"Гуляра","F","Гуляре","Гуляри","Гулярі","Гуляри","Гулярою","Гулярі"
"Гулівер","M","","","","","",""
"Гулізара","F","Гулізаре","Гулізари","Гулізарі","Гулізари","Гулізарою","Гулізарі"
"Гумар","M","Гумаре","Гумара","Гумару","Гумара","Гумаром","Гумарові"
"Гумас","M","Гумасе","Гумаса","Гумасу","Гумаса","Гумасом","Гумасові"
"Гумер","M","","","","","",""
"Гунар","M","","","","","",""
"Гуннар","M","","","","","",""
"Гупта","M","Гупто","Гупти","Гупті","Гупти","Гуптою","Гупті"
"Гурам","M","Гураме","Гурама","Гураму","Гурама","Гурамом","Гурамі"
"Гуран","M","Гуране","Гурана","Гурану","Гурана","Гураном","Гурані"
"Гурбан","M","Гурбане","Гурбана","Гурбану","Гурбана","Гурбаном","Гурбанові"
"Гурген","M","Гургене","Гургена","Гургену","Гургена","Гургеном","Гургені"
"Гурій","M","Гуріє","Гурія","Гурію","Гурія","Гурієм","Гурієві"
"Гусейн","M","Гусейне","Гусейна","Гусейну","Гусейна","Гусейном","Гусейнові"
"Гусман","M","","","","","",""
"Густав","M","Густаве","Густава","Густаву","Густава","Густавом","Густамові"
"Гюзель","F","Гюзель","Гюзель","Гюзель","Гюзель","Гюзель","Гюзель"
"Гюлап","M","Гюлапе","Гюлапа","Гюлапу","Гюлапа","Гюлапом","Гюлапі"
"Гюлара","F","Гюларе","Гюлари","Гюларі","Гюлари","Гюларою","Гюларі"
"Гюлахмед Огли","M","","","","","",""
"Гюльнара","F","Гюльнаро","Гюльнари","Гюльнарі","Гюльнари","Гюльнарою","Гюльнарі"
"Гюльоглан","M","","","","","",""
"Гюльсем","F","Гюльсеме","Гюльсеми","Гюльсемі","Гюльсеми","Гюльсемою","Гюльсемі"
"Гюльчатай","F","Гюльчатай","Гюльчатай","Гюльчатай","Гюльчатай","Гюльчатай","Гюльчатай"
"Гюлядин","M","","","","","",""
"Гюлядін","M","Гюлядіне","Гюлядіна","Гюлядіну","Гюлядіна","Гюлядіном","Гюлядінові"
"Гюнай","F","Гюнай","Гюнай","Гюнай","Гюнай","Гюнай","Гюнай"
"Гюнер","M","Гюнере","Гюнера","Гюнеру","Гюнера","Гюнером","Гюнерові"
"Гюсіне","F","Гюсіне","Гюсіне","Гюсіне","Гюсіне","Гюсіне","Гюсіне"
"Гіаз","M","","","","","",""
"Гіві","M","Гіві","Гіві","Гіві","Гіві","Гіві","Гіві"
"Гігельді","M","Гігельде","Гігельда","Гігельду","Гігельда","Гігельдом","Гігельдові"
"Гідаят","M","Гідаяте","Гідаята","Гідаяту","Гідаята","Гідаятом","Гідаятові"
"Гіз","M","","","","","",""
"Гізатулін","F","Гізатуліне","Гізатуліні","Гізатуліни","Гізатуліні","Гізатуліною","Гізатуліні"
"Гізелла","F","Гізелло","Гізелли","Гізеллі","Гізелли","Гізеллою","Гізеллі"
"Гілані","M","","","","","",""
"Гілерій","M","","","","","",""
"Гільфан","M","","","","","",""
"Гіляр","M","","","","","",""
"Гілярій","M","Гілярію","Гілярія","Гілярілу","Гілярія","Гілярієм","Гілярієві"
"Гінят","M","Гіняте","Гінята","Гіняту","Гінята","Гінятом","Гінятові"
"Гісон","M","","","","","",""
"Гіуль","M","","","","","",""
"Гія","M","Гіє","Гія","Гію","Гію","Гієм","Гію"
"Гіяз","M","","","","","",""
"Гіяс","M","","","","","",""
"Давид","M","Давиде","Давида","Давиду","Давида","Давидом","Давиді"
"Давлет","M","","","","","",""
"Давлятяр","M","","","","","",""
"Давіт","M","Давіте","Давіта","Давіту","Давіта","Давітом","Давітові"
"Даглас","M","Дагласе","Дагласа","Дагласу","ма","Дагласом","Дагласові"
"Дагмар","M","Дагмаре","Дагмара","Дагмару","Дагмара","Дагмаром","Дагмарові"
"Дадаш Огли","M","","","","","",""
"Далгат","M","Далгате","Далгата","Далгату","Далгата","Далгатом","Далгаті"
"Дальнот","M","","","","","",""
"Дальтон","M","","","","","",""
"Дальтоній","M","Дальтонію","Дальтонія","Дальтонію","Дальтонія","Дальтонієм","Дальтонії"
"Даляль","F","Даляль","Даляль","Даляль","Даляль","Даляль","Даляль"
"Даліла","F","Даліло","Даліли","Далілі","Даліли","Далілою","Далілі"
"Даміан","M","","","","","",""
"Дамір","M","Даміре","Даміра","Даміру","Даміра","Даміром","Дамірові"
"Даміра","F","Даміре","Даміри","Дамірі","Даміри","Дамірою","Дамірі"
"Дан","M","Дане","Дана","Дану","Дана","Даном","Данові"
"Дана","F","Дане","Дани","Дані","Дани","Даною","Дані"
"Данат","M","Данате","Даната","Данату","Даната","Данатом","Данатові"
"Данило","M","Данило","Данила","Данилі","Данила","Данилом","Данилі"
"Данко","M","Данко","Данко","Данко","Данко","Данко","Данко"
"Данута","F","Дануте","Данути","Дануті","Данути","Данутією","Дануті"
"Даніела","F","Даніело","Даніели","Даніелі","Даніели","Даніелою","Даніелі"
"Даніель","M","Даніелю","Даніеля","Даніелю","Даніеля","Даніелем","Даніелеві"
"Даніслава","F","Даніслав","Даніслави","Даніславі","Даніслави","Даніславою","Даніславі"
"Данія","F","Даніє","Данії","Данії","Данії","Данією","Данії"
"Даніял","M","","","","","",""
"Даніїл","M","Даніїле","Даніїла","Даніїлу","Даніїла","Даніїлом","Даніїлові"
"Дарʼя","F","Дарʼє","Дарʼї","Дарʼї","Дарʼї","Дарʼєю","Дарʼї"
"Дарина","F","Дарино","Дарини","Дарині","Дарини","Дариною","Дарині"
"Дарко","M","Дарко","Дарко","Дарко","Дарко","Дарко","Дарко"
"Дарюс","M","Дарюсе","Дарюса","Дарюсу","Дарюса","Дарюсом","Дарюсові"
"Дарій","M","Даріє","Дарія","Дарію","Дарія","Дарієм","Дарієві"
"Даріко","F","Даріко","Даріко","Даріко","Даріко","Даріко","Даріко"
"Дасій","M","Дасіє","Дасія","Дасію","Дасія","Дасієм","Дасійові"
"Датик","M","","","","","",""
"Дато","M","Дато","Дато","Дато","Дато","Дато","Дато"
"Дауд","M","","","","","",""
"Даула","M","Дауло","Даули","Даулі","Даули","Даулою","Даулі"
"Даулі","M","","","","","",""
"Даур","M","","","","","",""
"Даут","M","Дауте","Даута","Дауту","Даута","Даутом","Даутові"
"Даіна","F","Даіне","Даіни","Даіні","Даіни","Даіною","Даіні"
"Даір","M","","","","","",""
"Дверді","M","","","","","",""
"Деамід","M","Деаміде","Деаміда","Деаміду","Деаміда","Деамідом","Деамідові"
"Девзєв","M","Девзєве","Девзєва","Девзєву","Девзєва","Девзєвом","Девзєвові"
"Девриш","M","","","","","",""
"Девід","M","Девіде","Девіда","Девіду","Девіда","Девідом","Девідові"
"Дегам","M","","","","","",""
"Дезидер","M","","","","","",""
"Дезідерій","M","","","","","",""
"Делафройс","F","Делафройсе","Делафройси","Делафройсі","Делафройси","Делафройсою","Делафройсі"
"Демʼян","M","Демʼяне","Демʼяна","Демʼяну","Демʼяна","Демʼяном","Демʼяні"
"Демʼяна","F","Демʼяне","Демʼяни","Демʼяні","Демʼяни","Демʼяною","Демʼяні"
"Дементій","M","Дементію","Дементія","Дементію","Дементія","Дементієм","Дементії"
"Демид","M","Демиде","Демида","Демиду","Демидом","Демидом","Демиді"
"Демур","M","","","","","",""
"Демурі","M","","","","","",""
"Ден","M","Дене","Дена","Дену","Дена","Деном","Денові"
"Денді","F","Дендіє","Дендії","Дендії","Дендії","Дендією","Дендії"
"Денис","M","Денисе","Дениса","Денису","Дениса","Денисом","Денисі"
"Дені","M","Деніне","Деніна","Деніну","Деніна","Деніном","Денінові"
"Деомид","M","","","","","",""
"Деонизій","M","","","","","",""
"Деонізій","M","Деонізію","Деонізія","Деонізію","Деонізія","Деонізієм","Деонізії"
"Деонізія","F","Деонізіє","Деонізії","Деонізії","Деонізію","Деонізією","Деонізії"
"Дербиш","M","","","","","",""
"Дерд","M","","","","","",""
"Дердіка","F","Дердіке","Дердіки","Дердікі","Дердіки","Дердікою","Дердікі"
"Дерек","M","Дереку","Дерека","Дереку","Дерека","Дереком","Дерекові"
"Дерзібан","M","","","","","",""
"Джабар","M","","","","","",""
"Джаббар","M","Джаббаре","Джаббара","Джаббару","Джаббара","Джаббаром","Джаббарові"
"Джабраіл","M","Джабраіле","Джабраіла","Джабраілу","Джабраіла","Джабраілом","Джабраілові"
"Джабраіль","M","","","","","",""
"Джабраїл","M","","","","","",""
"Джабі","M","Джабіє","Джабії","Джабії","Джабії","Джабією","Джабії"
"Джавад","M","","","","","",""
"Джавдет","M","","","","","",""
"Джавід","M","Джавіде","Джавіда","Джавіду","Джавіда","Джавідом","Джавідові"
"Джаліл","M","Джаліле","Джаліла","Джалілу","Джаліла","Джалілом","Джалілові"
"Джаліль","M","","","","","",""
"Джамагла","M","","","","","",""
"Джамал","M","Джамале","Джамала","Джамалу","Джамала","Джамалом","Джамалові"
"Джамбул","M","Джамбуле","Джамбула","Джамбулу","Джамбула","Джамбулом","Джамбулові"
"Джаміль","M","Джаміле","Джаміла","Джамілу","Джаміла","Джамілом","Джамілові"
"Джаміля","F","Джаміле","Джаміли","Джамілі","Джаміли","Джамілою","Джамілі"
"Джан","M","Джане","Джана","Джану","Джана","Джаном","Джанові"
"Джангі","M","","","","","",""
"Джанибек","M","","","","","",""
"Джаниль","M","","","","","",""
"Джанна","F","Джанно","Джанни","Джанні","Джанни","Джанною","Джанні"
"Джаркинбек","M","Джаркинбеке","Джаркинбека","Джаркинбеку","Джаркинбека","Джаркинбеком","Джаркинбекові"
"Джафар","M","Джафаре","Джафара","Джафару","Джафара","Джафаром","Джафарові"
"Джафер","M","","","","","",""
"Джебар","M","","","","","",""
"Джевдет","M","Джевдете","Джевдета","Джевдету","Джевдета","Джевдетом","Джевдетові"
"Джед","M","Джеде","Джеда","Джеду","Джеда","Джедом","Джедові"
"Джеймс","M","Джеймсе","Джеймса","Джеймсу","Джеймса","Джеймсом","Джеймсові"
"Джейсон","M","Джейсоне","Джейсона","Джейсону","Джейсона","Джейсоном","Джейсонові"
"Джелял","M","","","","","",""
"Джемал","M","Джемале","Джемала","Джемалу","Джемала","Джемалом","Джемалові"
"Джемаль","M","","","","","",""
"Джемальдин","M","","","","","",""
"Джемальдін","M","Джемальдіне","Джемальдіна","Джемальдіну","Джемальдіна","Джемальдіном","Джемальдіні"
"Джемма","F","Джеммо","Джемми","Джеммі","Джемми","Джеммою","Джеммі"
"Джеміль","M","","","","","",""
"Дженаро","M","Дженаро","Дженаро","Дженаро","Дженаро","Дженаро","Дженаро"
"Дженіс","F","Дженіс","Дженіс","Дженіс","Дженіс","Дженіс","Дженіс"
"Джепар","M","","","","","",""
"Джері","M","Джері","Джері","Джері","Джері","Джері","Джері"
"Джессіка","F","Джессіке","Джессіки","Джессіці","Джессіки","Джессікою","Джессіці"
"Джефер","M","Джефере","Джефера","Джеферу","Джефера","Джефером","Джеферові"
"Дживан","M","Дживане","Дживана","Дживану","Дживана","Дживаном","Дживанові"
"Джиганш","M","","","","","",""
"Джина","F","Джине","Джини","Джині","Джини","Джиною","Джині"
"Джинар","M","","","","","",""
"Джихад","M","Джихаде","Джихада","Джихаду","Джихада","Джихадом","Джихадові"
"Джовад","M","Джоваде","Джовада","Джоваду","Джовада","Джовадом","Джовадові"
"Джозеф","M","Джозефе","Джозефа","Джозефу","Джозефа","Джозефом","Джозефові"
"Джон","M","Джоне","Джона","Джону","Джона","Джоном","Джонові"
"Джонатан","M","Джонатане","Джонатана","Джонатану","Джонатана","Джонатаном","Джонатанові"
"Джонс","M","","","","","",""
"Джора","M","Джоре","Джора","Джору","Джора","Джором","Джорові"
"Джордж","M","Джордже","Джорджа","Джорджу","Джорджа","Джорджем","Джорджеві"
"Джульєтта","F","Джульєтто","Джульєтти","Джульєтті","Джульєтти","Джульєттою","Джульєтті"
"Джулія","F","Джуліє","Джулії","Джулії","Джулії","Джулією","Джулії"
"Джумабай","M","","","","","",""
"Джумазія","F","Джумазіє","Джумазії","Джумазії","Джумазії","Джумазією","Джумазії"
"Джумай","M","","","","","",""
"Джумбер","M","Джумбере","Джумбера","Джумберу","Джумбера","Джумбером","Джумбері"
"Джурабай","M","","","","","",""
"Джуракул","M","","","","","",""
"Джуро","M","Джуро","Джуро","Джуро","Джуро","Джуро","Джуро"
"Дзамбулат","M","","","","","",""
"Дзантемір","M","","","","","",""
"Дзинтар","M","","","","","",""
"Дзінтар","M","Дзінтаре","Дзінтара","Дзінтару","Дзінтара","Дзінтарем","Дзінтарові"
"Дилроба","F","Дилробе","Дилроби","Дилробі","Дилроби","Дилробою","Дилробі"
"Дильбар","M","Дильбаре","Дильбара","Дильбару","Дильбара","Дильбаром","Дильбарові"
"Дильбара","F","Дильбаре","Дильбари","Дильбарі","Дильбари","Дильбарою","Дильбарі"
"Дилявер","M","Дилявере","Дилявера","Диляверу","Дилявера","Дилявером","Дилявері"
"Диляра","F","Диляре","Диляри","Дилярі","Диляри","Дилярою","Дилярі"
"Димитр","M","","","","","",""
"Димурій","M","","","","","",""
"Динар","M","","","","","",""
"Динаїда","F","Динаїдо","Динаїди","Динаїді","Динаїди","Динаїдою","Динаїді"
"Дионидій","M","","","","","",""
"Дипак","M","","","","","",""
"Дирмидонт","M","","","","","",""
"Дисан","M","","","","","",""
"Дишер","M","","","","","",""
"Дмитро","M","Дмитре","Дмитра","Дмитру","Дмитра","Дмитром","Дмитрі"
"Доброслав","M","Доброславе","Доброслава","Доброславу","Доброслава","Доброславом","Доброславові"
"Догос","M","","","","","",""
"Дозія","F","Дозіє","Дозії","Дозії","Дозії","Дозією","Дозії"
"Дойна","F","Дойно","Дойни","Дойні","Дойни","Дойною","Дойні"
"Долорес","F","Долорес","Долорес","Долорес","Долорес","Долорес","Долорес"
"Домаха","F","Домахо","Домахи","Домасі","Домаху","Домахою","Домасі"
"Домзай","M","","","","","",""
"Домна","F","Домне","Домни","Домні","Домни","Домною","Домні"
"Домніка","F","Домніке","Домніки","Домніці","Домніки","Домнікою","Домніці"
"Домнікія","F","Домнікіє","Домнікії","Домнікії","Домнікію","Домнікією","Домнікії"
"Домінго","M","","","","","",""
"Домінік","M","Домініку","Домініка","Домініку","Домініка","Домініком","Домінікові"
"Домініка","F","Домініке","Домініки","Домініці","Домініки","Домінікою","Домініці"
"Дона","F","Доне","Дони","Доні","Дони","Доною","Доні"
"Донат","M","","","","","",""
"Доната","M","Донате","Доната","Донату","Доната","Донатом","Донатові"
"Дора","F","Доро","Дори","Дорі","Дори","Дорою","Дорі"
"Дорофій","M","Дорофію","Дорофія","Дорофію","Дорофія","Дорофієм","Дорофії"
"Доріан","M","","","","","",""
"Дост Мохамад","M","","","","","",""
"Дося","F","Досю","Досі","Досі","Досі","Досею","Досі"
"Драган","M","Драгане","Драгана","Драгану","Драгана","Драганом","Драганові"
"Драгомир","M","","","","","",""
"Драгуш","M","","","","","",""
"Дтаханчир","M","","","","","",""
"Дудай","M","","","","","",""
"Дуквах","M","","","","","",""
"Дулкин","M","","","","","",""
"Дументій","M","","","","","",""
"Дурдій","M","","","","","",""
"Дурмишхан","M","","","","","",""
"Дурсун","M","Дурсуне","Дурсуна","Дурсуну","Дурсуна","Дурсуном","Дурсунові"
"Душалі","M","Душаліє","Душалію","Душаліє","Душалію","Душалієм","Душалієві"
"Душам","M","","","","","",""
"Душан","M","Душане","Душана","Душану","Душана","Душаном","Душанові"
"Дьєрд","M","Дьєрде","Дьєрда","Дьєрду","Дьєрда","Дьєрдом","Дьєрді"
"Дьєрді","M","","","","","",""
"Дюла","M","Дюло","Дюли","Дюлі","Дюли","Дюлою","Дюлі"
"Дюло","M","","","","","",""
"Діамар","M","","","","","",""
"Діан","M","Діане","Діана","Діану","Діана","Діаном","Діанові"
"Діана","F","Діано","Діани","Діані","Діани","Діаною","Діані"
"Дізідер","M","","","","","",""
"Дізідерій","M","Дізідерію","Дізідерія","Дізідерію","Дізідерія","Дізідерієм","Дізідерію"
"Дік","M","Діку","Діка","Діку","Діка","Діком","Дікові"
"Дімгаудас","M","Дімгаудасе","Дімгаудаса","Дімгаудусу","Дімгаудаса","Дімгаудосом","Дімгаудасі"
"Діна","F","Діно","Діни","Діні","Діни","Діною","Діні"
"Дінар","M","Дінаре","Дінара","Дінару","Дінара","Дінаром","Дінарі"
"Дінара","F","Дінаре","Дінари","Дінарі","Дінари","Дінарою","Дінарі"
"Діне","F","Діне","Діне","Діне","Діне","Діне","Діне"
"Діонізій","M","Діонізе","Діонізія","Діонізію","Діонізія","Діонізієм","Діонізові"
"Діоніс","M","","","","","",""
"Діонісіо","M","Діонісіо","Діонісіо","Діонісіо","Діонісіо","Діонісіо","Діонісіо"
"Діоскар","M","","","","","",""
"Ебазер","M","Ебазере","Ебазера","Ебазеру","Ебазера","Ебазером","Ебазерові"
"Евальд","M","Евальде","Евальда","Евальду","Евальда","Евальдом","Евальдові"
"Евалій","M","","","","","",""
"Еварест","M","","","","","",""
"Евеліна","F","Евеліне","Евеліни","Евеліні","Евеліни","Евеліною","Евеліні"
"Евлян","M","","","","","",""
"Евнос","M","Евносе","Евноса","Евносу","Евноса","Евносом","Евносы"
"Евіс","M","","","","","",""
"Егізар","M","","","","","",""
"Егіслав","M","","","","","",""
"Едає","F","Едає","Едає","Едає","Едає","Едаєю","Едає"
"Едваль","M","Едвалю","Едваля","Едвалю","Едваля","Едвалем","Едвалеві"
"Едвард","M","Едварде","Едварда","Едварду","Едварда","Едвардом","Едвардові"
"Едвін","M","Едвіне","Едвіна","Едвіну","Едвіна","Едвіном","Едвінові"
"Едгам","M","","","","","",""
"Едгар","M","Едгаре","Едгара","Едгару","Едгара","Едгаром","Едгарові"
"Едгард","M","Едгарде","Едгарда","Едгарду","Едгарда","Едгардом","Едгардові"
"Едем","M","Едеме","Едема","Едему","Едема","Едемом","Едемі"
"Едик","M","","","","","",""
"Едим","M","","","","","",""
"Едисолтан","M","","","","","",""
"Едишер","M","","","","","",""
"Едмонд","M","Едмонде","Едмонда","Едмонду","Едмонда","Едмондом","Едмондові"
"Едмунд","M","","","","","",""
"Едмундас","M","Едмундасе","Едмундаса","Едмундасу","Едмундаса","Едмундасом","Едмундасові"
"Едрім","M","Едріме","Едріма","Едріму","Едріма","Едрімом","Едрімові"
"Едуард","M","Едуарде","Едуарда","Едуарду","Едуарда","Едуардом","Едуарді"
"Еді","M","","","","","",""
"Едід Оглу","M","","","","","",""
"Едік","M","","","","","",""
"Еділ","M","Еділе","Еділа","Еділу","Еділа","Еділом","Еділі"
"Едім","M","Едіме","Едіма","Едіму","Едіма","Едімом","Едімові"
"Едіт","M","","","","","",""
"Едіта","F","Едіто","Едіти","Едіті","Едіти","Едітою","Едіті"
"Едіє","F","Едіє","Едіє","Едіє","Едіє","Едіє","Едіє"
"Ейвальд","M","","","","","",""
"Ейнар","M","Ейнаре","Ейнара","Ейнару","Ейнара","Ейнаром","Ейнарові"
"Ейюп","M","Ейюпе","Ейюпа","Ейюпу","Ейюпа","Ейюпом","Ейюпові"
"Екрем","M","Екреме","Екрема","Екрему","Екрема","Екремом","Екремові"
