"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Аврора","F","Авроро","Аврори","Аврорі","Аврори","Авророю","Аврорі"
"Аврум","M","","","","","",""
"Австралій","M","","","","","",""
"Авсій","M","","","","","",""
"Автандил","M","","","","","",""
"Автанділ","M","Автанділе","Автанділа","Автанділу","Автанділа","Автанділом","Автанділові"
"Автомон","M","","","","","",""
"Автоном","M","","","","","",""
"Ага","M","","","","","",""
"Агавні","F","Агавніє","Агавнії","Агавнії","Агавнії","Агавнією","Агавнії"
"Агададаш Огли","M","","","","","",""
"Агадиш","M","Агадише","Агадиша","Агадишу","Агадиша","Агадишом","Агадишові"
"Агакерим","M","","","","","",""
"Агакерім","M","Агакеріме","Агакеріма","Агакеріму","Агакеріма","Агакерімом","Агакерімові"
"Агалар","M","","","","","",""
"Агап","M","","","","","",""
"Агапія","F","Агапіє","Агапії","Агапії","Агапію","Агапією","Агапії"
"Агарагін","M","Агарагіне","Агарагіна","Агарагіну","Агарагіна","Агарагіном","Агарагінові"
"Агарон","M","Агароне","Агарона","Агарону","Агарона","Агароном","Агаронові"
"Агас","M","","","","","",""
"Агасаф","M","","","","","",""
"Агасин","M","","","","","",""
"Агасі Огли","M","","","","","",""
"Агасі","M","Агасі","Агасі","Агасі","Агасі","Агасі","Агасі"
"Агасіогін","M","","","","","",""
"Агата","F","Агато","Агати","Агаті","Агати","Агатою","Агаті"
"Агафʼя","F","Агафе","Агафи","Агафі","Агафи","Агафою","Агафʼї"
"Агафон","M","Агафоне","Агафона","Агафону","Агафона","Агафоном","Агафоні"
"Агахан","M","","","","","",""
"Агван","M","Агване","Агвана","Агвану","Агвана","Агваном","Агванові"
"Агедзян","M","","","","","",""
"Агей","M","","","","","",""
"Агзам","M","","","","","",""
"Аглая","F","Аглає","Аглаї","Аглаї","Аглаю","Аглаєю","Аглаї"
"Агнеса","F","Агнесо","Агнеси","Агнесі","Агнеси","Агнесою","Агнесі"
"Агнета","F","Агнете","Агнети","Агнеті","Агнети","Агнетою","Агнеті"
"Агнешка","F","Агнешко","Агнешки","Агнешці","Агнешку","Агнешкою","Агнешці"
"Агнія","F","Агніє","Агнії","Агнії","Агнію","Агнією","Агнії"
"Аграфена","F","Аграфене","Аграфени","Аграфені","Аграфени","Аграфеном","Аграфені"
"Агрипина","F","Агрипино","Агрипини","Агрипині","Агрипину","Агрипиною","Агрипині"
"Агій","M","","","","","",""
"Ада","F","Адо","Ади","Аді","Ади","Адою","Аді"
"Адай","M","","","","","",""
"Адальберт","M","Адальберте","Адальберта","Адальберту","Адальберта","Адальбертом","Адальбертові"
"Адам","M","Адаме","Адама","Адамові","Адама","Адамом","Адамові"
"Адана","F","Адане","Адани","Адані","Адани","Аданою","Адані"
"Аданша Огли","M","","","","","",""
"Адар","M","","","","","",""
"Адверт","M","","","","","",""
"Адган","M","Адгане","Адгана","Адгану","Адгана","Адганом","Адганові"
"Адела","F","Аделе","Адели","Аделі","Адели","Аделою","Аделі"
"Аделаїда","F","Аделаїдо","Аделаїди","Аделаїді","Аделаїди","Аделаїдою","Аделаїді"
"Адель","F","Адель","Адель","Адель","Адель","Адель","Адель"
"Адель","M","","","","","",""
"Адельзян","M","","","","","",""
"Адельфіна","F","Адельфіне","Адельфіни","Адельфіні","Адельфіни","Адельфіною","Адельфіні"
"Адельшай","M","","","","","",""
"Аделіна","F","Аделіне","Аделіни","Аделіні","Аделіни","Аделіною","Аделіні"
"Аделія","F","Аделіє","Аделії","Аделії","Аделії","Аделією","Аделії"
"Адем","M","Адеме","Адема","Адему","Адема","Адемом","Адемові"
"Адемид","M","","","","","",""
"Адеіл","M","Адеіле","Адеіла","Адеілу","Адеіла","Адеілом","Адеілові"
"Аджи","M","","","","","",""
"Аджимурат","M","","","","","",""
"Аджирє","F","Аджире","Аджирє","Аджиру","Аджирє","Аджирою","Аджирі"
"Адиб","M","","","","","",""
"Адил","M","","","","","",""
"Адильжан","M","","","","","",""
"Адим","M","","","","","",""
"Адислав","M","","","","","",""
"Адлена","F","Адлене","Адлени","Адлені","Адлени","Адленою","Адлені"
"Аднан","M","Аднане","Аднана","Аднану","Аднана","Аднаном","Аднанові"
"Адоль","M","","","","","",""
"Адольф","M","Адольфе","Адольфа","Адольфу","Адольфа","Адольфом","Адольфові"
"Адольфас","M","","","","","",""
"Адольфіна","F","Адольфіно","Адольфіни","Адольфіні","Адольфіну","Адольфіною","Адольфіні"
"Адолій","M","","","","","",""
"Адоній","M","","","","","",""
"Адоніс","M","","","","","",""
"Адріан","M","Адріане","Адріана","Адріану","Адріана","Адріаном","Адріані"
"Адріана","F","Адріано","Адріани","Адріані","Адріани","Адріаною","Адріані"
"Адріка","F","Адріке","Адріки","Адрікі","Адріки","Адрікою","Адрікі"
"Адуар","M","Адуаре","Адуара","Адуару","Адуара","Адуаром","Адуарові"
"Адхам","M","","","","","",""
"Адьгам","M","","","","","",""
"Адій","M","Адію","Адія","Адію","Адія","Адієм","Адієві"
"Аділь","M","Аділе","Аділа","Аділу","Аділа","Аділом","Аділові"
"Аділя","F","Аділо","Аділі","Аділі","Аділі","Аділею","Аділі"
"Адіхам","M","","","","","",""
"Аез","M","Аезе","Аеза","Аезу","Аеза","Аезом","Аезові"
"Аеліта","F","Аеліто","Аеліти","Аеліті","Аеліти","Аелітою","Аеліті"
"Ажире","F","Ажире","Ажире","Ажире","Ажире","Ажире","Ажире"
"Аза","F","Азо","Ази","Азі","Ази","Азою","Азі"
"Азалія","F","Азаліє","Азалії","Азалії","Азалію","Азалією","Азалії"
"Азамат","M","Азамате","Азамата","Азаматові","Азамата","Азаматом","Азаматові"
"Азар","M","","","","","",""
"Азарет","M","","","","","",""
"Азарій","M","Азарію","Азарія","Азарію","Азарія","Азарієм","Азарієві"
"Азат","M","Азате","Азата","Азату","Азата","Азатом","Азаті"
"Азатбек","M","","","","","",""
"Азер","M","Азере","Азера","Азеру","Азера","Азером","Азерові"
"Азим","M","","","","","",""
"Азнавур","M","Азнавуре","Азнавура","Азнавуру","Азнавура","Азнавуром","Азнавурові"
"Азнів","F","Азнів","Азнів","Азнів","Азнів","Азнів","Азнів"
"Азольд","M","","","","","",""
"Азот","M","Азоте","Азота","Азоту","Азота","Азотом","Азотові"
